2023-11-25 15:26:21.462782 {'On The Cards': 6.0, 'Timely Artist': 81.0, 'Mashaaer': 1.28, 'Electric Avenue': 9.0, 'Moda Minx': 19.0, 'Peruvian Sunset': 81.0}
2023-11-25 15:26:23.632807 {'On The Cards': 6.0, 'Timely Artist': 81.0, 'Mashaaer': 1.28, 'Electric Avenue': 9.0, 'Moda Minx': 19.0, 'Peruvian Sunset': 81.0}
2023-11-25 15:26:25.829845 {'On The Cards': 6.0, 'Timely Artist': 81.0, 'Mashaaer': 1.28, 'Electric Avenue': 9.0, 'Moda Minx': 19.0, 'Peruvian Sunset': 81.0}
2023-11-25 15:26:27.999221 {'On The Cards': 6.0, 'Timely Artist': 81.0, 'Mashaaer': 1.28, 'Electric Avenue': 9.0, 'Moda Minx': 19.0, 'Peruvian Sunset': 81.0}
2023-11-25 15:26:30.185879 {'On The Cards': 6.0, 'Timely Artist': 81.0, 'Mashaaer': 1.28, 'Electric Avenue': 9.0, 'Moda Minx': 19.0, 'Peruvian Sunset': 81.0}
2023-11-25 15:26:32.375208 {'On The Cards': 6.0, 'Timely Artist': 81.0, 'Mashaaer': 1.28, 'Electric Avenue': 9.0, 'Moda Minx': 19.0, 'Peruvian Sunset': 81.0}
2023-11-25 15:26:34.567175 {'On The Cards': 6.0, 'Timely Artist': 81.0, 'Mashaaer': 1.28, 'Electric Avenue': 9.0, 'Moda Minx': 19.0, 'Peruvian Sunset': 81.0}
2023-11-25 15:26:36.760872 {'On The Cards': 6.0, 'Timely Artist': 81.0, 'Mashaaer': 1.28, 'Electric Avenue': 9.0, 'Moda Minx': 19.0, 'Peruvian Sunset': 81.0}
2023-11-25 15:26:38.942167 {'On The Cards': 6.0, 'Timely Artist': 81.0, 'Mashaaer': 1.28, 'Electric Avenue': 9.0, 'Moda Minx': 19.0, 'Peruvian Sunset': 81.0}
2023-11-25 15:26:41.137612 {'On The Cards': 6.0, 'Timely Artist': 81.0, 'Mashaaer': 1.28, 'Electric Avenue': 9.0, 'Moda Minx': 19.0, 'Peruvian Sunset': 81.0}
2023-11-25 15:26:43.329145 {'On The Cards': 6.0, 'Timely Artist': 81.0, 'Mashaaer': 1.28, 'Electric Avenue': 9.0, 'Moda Minx': 19.0, 'Peruvian Sunset': 81.0}
2023-11-25 15:26:45.521415 {'On The Cards': 6.0, 'Timely Artist': 81.0, 'Mashaaer': 1.28, 'Electric Avenue': 9.0, 'Moda Minx': 19.0, 'Peruvian Sunset': 81.0}
2023-11-25 15:26:47.721756 {'On The Cards': 6.0, 'Timely Artist': 81.0, 'Mashaaer': 1.28, 'Electric Avenue': 9.0, 'Moda Minx': 19.0, 'Peruvian Sunset': 81.0}
2023-11-25 15:26:49.915623 {'On The Cards': 6.0, 'Timely Artist': 81.0, 'Mashaaer': 1.28, 'Electric Avenue': 9.0, 'Moda Minx': 19.0, 'Peruvian Sunset': 81.0}
2023-11-25 15:26:52.087126 {'On The Cards': 6.0, 'Timely Artist': 81.0, 'Mashaaer': 1.28, 'Electric Avenue': 9.0, 'Moda Minx': 19.0, 'Peruvian Sunset': 81.0}
2023-11-25 15:26:54.279245 {'On The Cards': 6.0, 'Timely Artist': 81.0, 'Mashaaer': 1.28, 'Electric Avenue': 9.0, 'Moda Minx': 19.0, 'Peruvian Sunset': 81.0}
2023-11-25 15:26:56.455364 {'On The Cards': 6.0, 'Timely Artist': 81.0, 'Mashaaer': 1.28, 'Electric Avenue': 9.0, 'Moda Minx': 19.0, 'Peruvian Sunset': 81.0}
2023-11-25 15:26:58.638645 {'On The Cards': 6.0, 'Timely Artist': 81.0, 'Mashaaer': 1.28, 'Electric Avenue': 9.0, 'Moda Minx': 19.0, 'Peruvian Sunset': 81.0}
2023-11-25 15:27:00.823790 {'On The Cards': 6.0, 'Timely Artist': 81.0, 'Mashaaer': 1.28, 'Electric Avenue': 9.0, 'Moda Minx': 19.0, 'Peruvian Sunset': 81.0}
2023-11-25 15:27:03.017391 {'On The Cards': 6.0, 'Timely Artist': 81.0, 'Mashaaer': 1.28, 'Electric Avenue': 9.0, 'Moda Minx': 19.0, 'Peruvian Sunset': 81.0}
2023-11-25 15:27:05.028835 {}
2023-11-25 15:27:07.216468 {'On The Cards': 6.0, 'Timely Artist': 81.0, 'Mashaaer': 1.28, 'Electric Avenue': 9.0, 'Moda Minx': 19.0, 'Peruvian Sunset': 81.0}
2023-11-25 15:27:09.415768 {'On The Cards': 6.0, 'Timely Artist': 81.0, 'Mashaaer': 1.28, 'Electric Avenue': 9.0, 'Moda Minx': 19.0, 'Peruvian Sunset': 81.0}
2023-11-25 15:27:11.610753 {'On The Cards': 6.0, 'Timely Artist': 81.0, 'Mashaaer': 1.28, 'Electric Avenue': 9.0, 'Moda Minx': 19.0, 'Peruvian Sunset': 81.0}
2023-11-25 15:27:13.787027 {'On The Cards': 6.0, 'Timely Artist': 81.0, 'Mashaaer': 1.28, 'Electric Avenue': 9.0, 'Moda Minx': 19.0, 'Peruvian Sunset': 81.0}
2023-11-25 15:27:16.005548 {'On The Cards': 6.0, 'Timely Artist': 81.0, 'Mashaaer': 1.28, 'Electric Avenue': 9.0, 'Moda Minx': 19.0, 'Peruvian Sunset': 81.0}
2023-11-25 15:27:18.835452 {'On The Cards': 6.0, 'Timely Artist': 81.0, 'Mashaaer': 1.28, 'Electric Avenue': 9.0, 'Moda Minx': 19.0, 'Peruvian Sunset': 81.0}
2023-11-25 15:27:21.035906 {'On The Cards': 6.0, 'Timely Artist': 81.0, 'Mashaaer': 1.28, 'Electric Avenue': 9.0, 'Moda Minx': 19.0, 'Peruvian Sunset': 81.0}
2023-11-25 15:27:23.211284 {'On The Cards': 6.0, 'Timely Artist': 81.0, 'Mashaaer': 1.28, 'Electric Avenue': 9.0, 'Moda Minx': 19.0, 'Peruvian Sunset': 81.0}
2023-11-25 15:27:25.389583 {'On The Cards': 6.0, 'Timely Artist': 81.0, 'Mashaaer': 1.28, 'Electric Avenue': 9.0, 'Moda Minx': 19.0, 'Peruvian Sunset': 81.0}
